RegionID,City,State,Zip Code,Latitude,Longitude
6181,New York,New York,10001,40.74841846379893,-73.99414662538305
17426,Chicago,Illinois,60601,41.88590973888887,-87.62384881079517
18959,Las Vegas,Nevada,89101,36.16754012512261,-115.1397390708225
38128,Dallas,Texas,75201,32.78591838122747,-96.79898740986125
10920,Columbus,Ohio,43085,40.09937865821035,-83.01535635988175
12455,Louisville,Kentucky,40202,38.251258306496524,-85.74953130976665
13121,Orlando,Florida,32801,28.54369969285714,-81.37867734893716
11093,Denver,Colorado,80202,39.75047244283387,-104.99667202434155
41568,Washington,District of Columbia,20001,38.91577904545211,-77.01780075676825
13373,Portland,Oregon,97201,45.50849526040868,-122.6927202533267
6118,Nashville,Tennessee,37201,36.16546734623656,-86.77459649986355
5976,Milwaukee,Wisconsin,53202,43.04878110657971,-87.89918243948371
40152,Omaha,Nebraska,68102,41.26096203127026,-95.93490843192167
33225,Oklahoma City,Oklahoma,73102,35.45077612039714,-97.51630135887922
54047,Raleigh,North Carolina,27601,35.77569627187468,-78.63620578646977
4172,Colorado Springs,Colorado,80902,38.75690697619047,-104.80612063249079
5983,Minneapolis,Minnesota,55401,44.98030381092867,-93.27195897032745
44055,Baton Rouge,Louisiana,70801,30.44967257142857,-91.18825912308387
16846,Aurora,Colorado,80010,39.747654686292734,-104.86042991143192
16764,Anaheim,California,92801,33.84972059565739,-117.94287382078076
11722,Greensboro,North Carolina,27395,38.019129545617815,-84.4872850949603
25574,Lexington,Kentucky,40502,41.06941290557671,-85.15706869439919
18170,Fort Wayne,Indiana,46802,44.95626671213007,-93.08780471264137
20313,Saint Paul,Minnesota,55101,26.147321411228212,-81.79731580645046
19533,Naples,Florida,34102,30.435668599187384,-84.26374190271257
47945,Tallahassee,Florida,32301,35.99861716333332,-114.94898312948244
11867,Henderson,Nevada,89002,40.785386564241826,-96.6933521262175
32503,Lincoln,Nebraska,68502,47.66132581586539,-117.42909429783734
20604,Spokane,Washington,99201,30.42023855692076,-87.22529853888044
53856,Pensacola,Florida,32501,43.076431796775175,-89.38113091889922
398849,Madison,Wisconsin,53703,33.732597346693105,-117.77182782601952
52650,Irvine,California,92602,36.21965406083334,-115.1092694930372
26187,North Las Vegas,Nevada,89030,38.886106852469396,-77.10087405524759
30258,Arlington,Virginia,22201,37.21147456810666,-93.30666755935674
7222,Springfield,Missouri,65802,38.64505962810414,-77.2569240941955
17759,Des Moines,Iowa,50307,29.648850667246183,-82.32637849613738
14701,Woodbridge,Virginia,22191,40.94329052192868,-73.88601984537547
24821,Gainesville,Florida,32601,41.79098534391594,-88.25875979931293
34937,Yonkers,New York,10701,34.234318467582426,-77.94055099514162
10215,Aurora,Illinois,60502,33.66822076890284,-117.96789772829062
21320,Wilmington,North Carolina,28401,44.052062913754305,-123.08546682624394
25218,Huntington Beach,California,92646,27.29204376611316,-80.29780764669377
38438,Eugene,Oregon,97401,36.668259592836215,-121.64553152842092
33501,Port Saint Lucie,Florida,34952,34.74945361121744,-92.28563573157979
54288,Salinas,California,93901,37.973866151315775,-87.57247620424651
52998,Little Rock,Arkansas,72201,38.988495015807175,-94.67505408761436
31471,Evansville,Indiana,47708,44.93962618067226,-123.0116011857025
40202,Overland Park,Kansas,66204,45.50526595610471,-122.877088659611
20317,Salem,Oregon,97301,33.10664496940168,-117.06877273536956
